,tags,words
0,-,-
1,-,-
2,-,-
3,como,como
4,*,te
5,llama,llamas
6,-,-
7,-,-
8,-,-
9,-,-
10,-,-
11,-,-
12,como,cual
13,*,te
14,llama,llamas
15,-,-
16,-,-
17,-,-
18,-,-
19,-,-
20,-,-
21,como,como
22,*,te
23,llama,nombre
24,-,-
25,-,-
26,-,-
27,-,-
28,-,-
29,-,-
30,como,cual
31,*,te
32,llama,nombre
33,-,-
34,-,-
35,-,-
36,-,-
37,-,-
38,-,-
39,como,como
40,*,te
41,llama,nombras
42,-,-
43,-,-
44,-,-
45,-,-
46,-,-
47,-,-
48,como,cual
49,*,te
50,llama,nombras
51,-,-
52,-,-
53,-,-
54,-,-
55,-,-
56,-,-
57,como,como
58,llama,llamas
59,*,tu
60,-,-
61,-,-
62,-,-
63,-,-
64,-,-
65,-,-
66,como,cual
67,llama,llamas
68,*,tu
69,-,-
70,-,-
71,-,-
72,-,-
73,-,-
74,-,-
75,como,como
76,llama,nombre
77,*,tu
78,-,-
79,-,-
80,-,-
81,-,-
82,-,-
83,-,-
84,como,cual
85,llama,nombre
86,*,tu
87,-,-
88,-,-
89,-,-
90,-,-
91,-,-
92,-,-
93,como,como
94,llama,nombras
95,*,tu
96,-,-
97,-,-
98,-,-
99,-,-
100,-,-
101,-,-
102,como,cual
103,llama,nombras
104,*,tu
105,-,-
106,-,-
107,-,-
108,-,-
109,-,-
110,-,-
111,como,como
112,*,es
113,*,tu
114,llama,llamas
115,-,-
116,-,-
117,-,-
118,-,-
119,-,-
120,-,-
121,como,cual
122,*,es
123,*,tu
124,llama,llamas
125,-,-
126,-,-
127,-,-
128,-,-
129,-,-
130,-,-
131,como,como
132,*,es
133,*,tu
134,llama,nombre
135,-,-
136,-,-
137,-,-
138,-,-
139,-,-
140,-,-
141,como,cual
142,*,es
143,*,tu
144,llama,nombre
145,-,-
146,-,-
147,-,-
148,-,-
149,-,-
150,-,-
151,como,como
152,*,es
153,*,tu
154,llama,nombras
155,-,-
156,-,-
157,-,-
158,-,-
159,-,-
160,-,-
161,como,cual
162,*,es
163,*,tu
164,llama,nombras
165,-,-
166,-,-
167,-,-
168,-,-
169,-,-
170,-,-
171,*,de
172,donde,donde
173,ser,eres
174,*,
175,-,-
176,-,-
177,-,-
178,-,-
179,-,-
180,-,-
181,*,de
182,donde,donde
183,prov,provienes
184,-,-
185,-,-
186,-,-
187,-,-
188,-,-
189,-,-
190,*,de
191,donde,donde
192,prov,vienes
193,-,-
194,-,-
195,-,-
196,-,-
197,-,-
198,-,-
199,*,es
200,*,tu
201,crea,creador
202,-,-
203,-,-
204,-,-
205,-,-
206,-,-
207,-,-
208,*,es
209,*,tu
210,crea,creado
211,-,-
212,-,-
213,-,-
214,-,-
215,-,-
216,-,-
217,*,es
218,*,tu
219,crea,papa
220,-,-
221,-,-
222,-,-
